trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-239.73737020006607,"{0: 11, 1: 2, 2: 6, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-62.33977386378726,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-132.09188345032135,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-145.7093972957128,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-133.60719076645327,"{0: 24, 1: 3, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-30.748464876855174,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-85.63958621346613,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-60.687470240719655,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,6,-120.23601533508271,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-267.52544408306846,"{0: 15, 1: 3, 2: 5, 3: 3, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-112.56236080616983,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-8.125884426643038,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-46.78870646177785,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,10,-33.525302922349624,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,11,-42.81105935225798,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-20.51433341924255,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,11,18.04094279969688,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-24.64817178792183,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,0.7896559377368781,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,13,37.59674407920038,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,-27.507637482904308,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,1,28.92754976339559,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-3.755420508578508,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,5,-101.90155748155676,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",1
5,True,"{'a': 0, 'e': 0}",25,8,-14.229486578891938,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,7,20.388702772421585,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,-56.50586509877916,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,13,-30.07627260489007,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,14,-100.5679886377572,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",20,0,14.890746367519911,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
