trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.999}",20,0,-135.67885865102662,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.7, 'e': 0.998001}",20,0,-120.61390974374957,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
3,False,"{'a': 0.7, 'e': 0.997002999}",20,0,-109.44282892045305,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.996005996001}",25,0,-238.0993580988791,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 5}",0
5,False,"{'a': 0.7, 'e': 0.995009990004999}",20,10,-9.209218878220998,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.7, 'e': 0.994014980014994}",25,0,-107.54108174572062,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.7, 'e': 0.993020965034979}",20,0,-90.15019285559265,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.992027944069944}",30,19,-43.73723059717487,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.7, 'e': 0.991035916125874}",20,0,-108.42810408173838,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.9900448802097482}",25,0,-78.22302454547376,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.7, 'e': 0.9890548353295384}",20,0,-64.613117863046,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.9880657804942089}",30,0,-176.1386109815508,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.7, 'e': 0.9870777147137147}",20,0,-58.44911990733204,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.7, 'e': 0.986090636999001}",30,0,-141.59562218919336,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.7, 'e': 0.985104546362002}",20,0,-173.5737192950954,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.7, 'e': 0.9841194418156399}",30,0,-244.2938835270403,"{0: 18, 1: 3, 2: 2, 3: 3, 4: 4}",0
17,False,"{'a': 0.7, 'e': 0.9831353223738244}",25,0,-191.14575089459598,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
18,False,"{'a': 0.7, 'e': 0.9821521870514505}",25,0,-170.5353671860301,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.7, 'e': 0.981170034864399}",20,0,-122.61518478281103,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.7, 'e': 0.9801888648295347}",20,0,-166.2945213897672,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
21,False,"{'a': 0.7, 'e': 0.9792086759647052}",20,0,-29.57716282798434,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
22,False,"{'a': 0.7, 'e': 0.9782294672887404}",25,0,-147.27981284352708,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
23,False,"{'a': 0.7, 'e': 0.9772512378214517}",25,0,-192.74701433757292,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 3}",0
24,False,"{'a': 0.7, 'e': 0.9762739865836302}",20,0,-80.5037027994696,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
25,False,"{'a': 0.7, 'e': 0.9752977125970466}",25,0,-182.205690333123,"{0: 17, 1: 0, 2: 2, 3: 3, 4: 3}",0
26,False,"{'a': 0.7, 'e': 0.9743224148844496}",20,0,-15.798109383700819,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
27,False,"{'a': 0.7, 'e': 0.9733480924695651}",35,0,-152.39501566815886,"{0: 23, 1: 3, 2: 6, 3: 1, 4: 2}",0
28,False,"{'a': 0.7, 'e': 0.9723747443770956}",20,0,-73.70753403402438,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
29,False,"{'a': 0.7, 'e': 0.9714023696327184}",20,0,-49.86406321498169,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
30,False,"{'a': 0.7, 'e': 0.9704309672630858}",30,0,-113.66127606205161,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
31,False,"{'a': 0.7, 'e': 0.9694605362958226}",20,0,-130.04387967344678,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
32,False,"{'a': 0.7, 'e': 0.9684910757595269}",20,0,-165.128006818322,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
33,False,"{'a': 0.7, 'e': 0.9675225846837673}",30,0,-242.4320047138956,"{0: 14, 1: 1, 2: 11, 3: 1, 4: 3}",0
