trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-80.90631691031469,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-53.00264709719003,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-65.82622520076139,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-184.98393559096115,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-117.34207588820574,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-134.04440774064,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-155.8169101823779,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-42.19055643106388,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-124.74738223140362,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-71.80554284527402,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-227.4626163410292,"{0: 16, 1: 1, 2: 8, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-37.51015589321902,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-166.08127227481657,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-167.6003684879254,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-218.71671995599323,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-96.00799505860441,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-100.50779784120985,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-54.414496237352225,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-136.89095679637722,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-142.1049267847968,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-51.50844028725201,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-81.18497785835083,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,-62.444730556266066,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-74.83926504654994,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-59.69821160159287,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-156.83806048481915,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,0,-202.8510744330744,"{0: 13, 1: 5, 2: 9, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-150.417764629056,"{0: 13, 1: 0, 2: 2, 3: 3, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-44.43799736541008,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-31.394057495239934,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
